name,address,city,state,zip,latitude,longitude
Wellness Pharmacy Abbott,420 Abbott St,Vancouver,B.C,V6B 2L1,49.28174655,-123.1072645
Marks Marine Pharmacy,239 SE Marine Dr,Vancouver,B.C,V5X 2S4,49.21125182,-123.1015231
Fraser Outreach Pharmacy,4127 Fraser St,Vancouver,B.C,V5V 4E9,49.24836064,-123.0903767
Pure Integrative Pharmacy,4444 W 10th Ave,Vancouver,B.C,V6R 2H9,49.2638172,-123.2074592
Nanaimo Pharmacy,1299 Nanaimo St,Vancouver,B.C,V5L 4T5,49.27337407,-123.0568548
Continental Pharmacy,1196-3779 Sexsmith Rd,Richmond,B.C,V6X 3Z9,49.18587416,-123.1303936
Wellness Pharmacy Richmond,6180 Blundell Rd #115,Richmond,B.C,V7C 4W7,49.15509842,-123.1565254
PeerConnect Pharmacy,8086 Park Rd,Richmond,B.C,V6Y 1T1,49.16486771,-123.1348922
Pharmasave Richlea Square,10151 No. 3 Rd #116,Richmond,B.C,V7A 4R6,49.13905883,-123.1378707
BioScript Pharmacy,13151 Vanier Pl Suite 180,Richmond,B.C,V6V 2J1,49.18334664,-123.0783473
Brentwood Pharmacy,4451 Lougheed Hwy.,Burnaby,B.C,V5C 3Z2,49.26702402,-123.0049287
Apoteka Pharmacy,7487 Edmonds St,Burnaby,B.C,V3N 1B3,49.22189463,-122.9457571
RxCare Pharmacy,4695 Canada Wy,Burnaby,B.C,V5G 1G7,49.25433273,-122.9895796
Guardian - Grace Pharmacy,3835 Sunset St,Burnaby,B.C,V5G 1T4,49.25019362,-123.0187475
Queensborough Community Pharmacy,1028 Ewen Ave,Burnaby,B.C,V3M 5E1,49.18562594,-122.9484336
Columbia Prescription X-Press,317 E Columbia St,New Westminster,B.C,V3L 3W8,49.22691169,-122.8929569
Longevity Compounding Pharmacy,711 Columbia St,New Westminster,B.C,V3M 1B2,49.20225486,-122.9102876
New West Pharmachoice,25 8th Ave,New Westminster,B.C,V3L 1X6,49.22153873,-122.9143085
HealthCare Pharmacy Pharmachoice,866 12th St,New Westminster,B.C,V3M 4K3,49.21187416,-122.936086
West End Medicine Centre and Ostomy Care and Supply,2004 8th Ave,New Westminster,B.C,V3M 2T5,49.2027774,-122.9485103
Prosper Pharmacy 24,"Unit#3, 12818 72 Ave #3",Surrey,B.C,V3W 2M9,49.13360847,-122.8673253
Pacific Pharmacy #1,15122 72 Ave #101,Surrey,B.C,V3S 2G2,49.13352893,-122.8030315
Pharmasave - Surrey Centre,13798 94a Ave #110,Surrey,B.C,V3V 1N1,49.17431222,-122.8408652
RiteCare Pharmacy,18438 64 Ave Unit 110,Surrey,B.C,V3S 1E9,49.11860679,-122.7112735
Pocketpills Pharmacy,5433 152 St #108,Surrey,B.C,V3S 5A5,49.10133756,-122.8017907
